No,ID,ACCID,Vet Name,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,Zip ,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,Stock,Stock
11,6778490011,CN111,โรงพยาบาลสัตว์ เมตตาเชียงใหม่,ช้างคลาน,อำเภอเมืองเชียงใหม่,เชียงใหม่,500105,50000,ทุกวัน,9:00:00 AM,8:00:00 PM,288/33 ถ.ช้างคลาน,0,0
12,6778490012,CN112,โรงพยาบาลสัตว์ แฮปปี้,หางดง,อำเภอหางดง,เชียงใหม่,501501,50230,ทุกวัน,9:00:00 AM,8:00:00 PM,252/5-6 ม.2,0,0
13,6778490013,CN113,โรงพยาบาลสัตว์สูงเม่น,ดอนมูล,อำเภอสูงเม่น,แพร่,540404,54130,ทุกวัน หยุดวันอาทิตย์,8:30:00 AM,7:00:00 PM,224 ม.4,0,0
14,6778490014,CN114,ครอบครัวรักสัตว์ (หมอฟ้า),แม่เหียะ,อำเภอเมืองเชียงใหม่,เชียงใหม่,500109,50000,ทุกวัน หยุดวันพุธ,9:00:00 AM,7:00:00 PM,499/2 ม.7,0,0
15,6778490015,CN115,โรงพยาบาลสัตว์หางดง,หนองควาย,อำเภอหางดง,เชียงใหม่,501509,50230,ทุกวัน,12:00:00 AM,12:00:00 AM,257/1-2 ม.11,0,0
16,6778490016,CN116,คลินิกบ้านรักสัตว์,เมืองพาน,อำเภอพาน,เชียงราย,570513,57120,ทุกวัน,9:00:00 AM,6:00:00 PM,1995 ม.1,0,0
17,6778490017,CN117,คลินิกสัตว์ยิ้มหวานลำปาง,สบตุ๋ย,อำเภอเมืองลำปาง,ลำปาง,520104,52000,ทุกวัน,10:00:00 AM,6:00:00 PM,130/2 ถ.สุเรนทร์,0,0
18,6778490018,CN118,เชียงใหม่ไนท์ซาฟารี,หนองควาย,อำเภอหางดง,เชียงใหม่,501509,50230,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,6:00:00 PM,เลขที่ 33 หมู่ 12,0,0
19,6778490019,CN119,คลินิกรักษาสัตว์ดอนจั่น,ท่าศาลา,อำเภอเมืองเชียงใหม่,เชียงใหม่,500112,50000,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,6:00:00 PM,411/14-15 โครงการเอวินิว,0,0
20,6778490020,CN120,โรงพยาบาลสัตว์สบายใจสัตวแพทย์,หัวเวียง,อำเภอเมืองลำปาง,ลำปาง,520102,52000,ทุกวัน,9:00:00 AM,8:00:00 PM,292/26 ถ.พหลโยธิน,0,0
21,6778490021,CN121,รพ.สัตว์ มหาวิทยาลัยราชภัฎเชียงราย,บ้านดู่,อำเภอเมืองเชียงราย,เชียงราย,570103,57100,ทุกวัน หยุดวัน เสาร์ อาทิตย์,9:00:00 AM,4:00:00 PM,80 ม.9 ถ.พหลโยธิน,0,0
22,6778490022,CN122,โรงพยาบาลสัตว์เล็กลำปาง,หัวเวียง,อำเภอเมืองลำปาง,ลำปาง,520102,52000,ทุกวัน,9:00:00 AM,8:00:00 PM,71/29 ถ.บุญวาทย์(ค่ายทหาร),0,0
23,6778490023,CN123,โรงพยาบาลสัตว์ลำพูน,เหมืองง่า,อำเภอเมืองลำพูน,ลำพูน,510102,51000,ทุกวัน,9:00:00 AM,8:00:00 PM,130 ม.2,0,0
24,6778490024,CN124,โรงพยาบาลสัตว์สันทราย,สันทรายน้อย,อำเภอสันทราย,เชียงใหม่,501402,50210,ทุกวัน,12:00:00 AM,12:00:00 AM,564/2 ม.3,0,0
25,6778490025,CN125,โรงพยาบาลสัตว์ไตรรัตน์เอื้ออาทร,ในเมือง,อำเภอเมืองลำพูน,ลำพูน,510101,51000,"วันจันทร์, วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์",9:00:00 AM,8:00:00 PM,288 ถ.สันป่ายาง,0,0
